strain,temperature,treatment,Time(days),replicate,cells,ln_cells
MIT9312,22,90,1,rep2,45629.0,10.728298758274772
MIT9312,22,90,4,rep2,149988.0,11.918310569878223
MIT9312,22,90,5,rep2,232789.0,12.357887742863957
MIT9312,22,90,7,rep2,616380.0,13.331618935438364
MIT9312,22,90,8,rep2,1129470.0,13.937259054112493
MIT9312,22,90,10,rep2,3089980.0,14.943675176361072
MIT9312,24,90,1,rep2,53894.0,10.894774433446688
MIT9312,24,90,4,rep2,237082.0,12.376161351837172
MIT9312,24,90,5,rep2,346170.0,12.754685262856823
MIT9312,24,90,7,rep2,1006590.0,13.822078938842306
MIT9312,24,90,8,rep2,1646360.0,14.314077348334324
MIT9312,24,90,10,rep2,4167580.0,15.24284608958361
MIT9312,26,90,1,rep2,45681.0,10.729437735508842
MIT9312,26,90,4,rep2,119080.0,11.687550815129713
MIT9312,26,90,5,rep2,129464.0,11.77115812919672
MIT9312,26,90,7,rep2,232080.0,12.354837418795286
MIT9312,26,90,8,rep2,422600.0,12.954181384164093
MIT9312,26,90,10,rep2,906700.0,13.717566913634148
MIT9312,28,90,1,rep2,31927.0,10.371207325767013
MIT9312,28,90,4,rep2,77557.0,11.258768428876687
MIT9312,28,90,5,rep2,84525.0,11.344802627576087
MIT9312,28,90,7,rep2,113040.0,11.635497017358409
MIT9312,28,90,8,rep2,138950.0,11.84186943517065
MIT9312,28,90,10,rep2,105450.0,11.565992185906921
MIT9312,14,200,1,rep2,3157.0,8.057377488557991
MIT9312,16,200,1,rep2,4221.0,8.347827345782498
MIT9312,16,200,4,rep2,935.0,6.840546529288687
MIT9312,16,200,5,rep2,1232.0,7.116394144093465
MIT9312,16,200,7,rep2,297.0,5.6937321388027
MIT9312,16-19,200,1,rep2,4131.0,8.326274787396764
MIT9312,16-19,200,4,rep2,1063.0,6.968850378341948
MIT9312,16-19,200,5,rep2,1489.0,7.305860032684009
MIT9312,16-19,200,7,rep2,1062.0,6.967909201801884
MIT9312,16-19,200,8,rep2,297.0,5.6937321388027
MIT9312,16-19,200,10,rep2,936.0,6.841615476477592
MIT9312,19,200,1,rep2,34495.0,10.448569664980209
MIT9312,19,200,4,rep2,80011.0,11.28991940420376
MIT9312,19,200,5,rep2,95654.0,11.468492793126256
MIT9312,19,200,7,rep2,189550.0,12.15240812094448
MIT9312,19,200,8,rep2,271120.0,12.510316806280933
MIT9312,19,200,10,rep2,471400.0,13.063462269484168
MIT9312,22,200,1,rep2,41785.0,10.640292702435536
MIT9312,22,200,4,rep2,142598.0,11.867784761618536
MIT9312,22,200,5,rep2,198139.0,12.196724083577775
MIT9312,22,200,7,rep2,543830.0,13.20639197699978
MIT9312,22,200,8,rep2,816990.0,13.613382133865152
MIT9312,22,200,10,rep2,1778450.0,14.391252756396595
MIT9312,24,200,1,rep2,57081.0,10.952226590708511
MIT9312,24,200,4,rep2,194902.0,12.180252147115654
MIT9312,24,200,5,rep2,262893.0,12.47950238426992
MIT9312,24,200,7,rep2,691450.0,13.446546120892805
MIT9312,24,200,8,rep2,978240.0,13.793510317684607
MIT9312,24,200,10,rep2,2599860.0,14.770968155388108
MIT9312,26,200,1,rep2,43744.0,10.686109739523676
MIT9312,26,200,4,rep2,124779.0,11.73429945152784
